品种,批发市场,最高价,最低价,大宗价,单位,提取时间
樱桃西红柿,山西省太原市河西农产品有限公司,9,8,8.5,元/公斤,2025-9-16 17:50
红尖椒,山西省太原市河西农产品有限公司,5,5,5,元/公斤,2025-9-16 17:50
线椒(皱椒),山西省太原市河西农产品有限公司,9,8,8.5,元/公斤,2025-9-16 17:50
红椒,山西省太原市河西农产品有限公司,6,6,6,元/公斤,2025-9-16 17:50
圆茄子,山西省太原市河西农产品有限公司,2.6,2.6,2.6,元/公斤,2025-9-16 17:50
长茄子,山西省太原市河西农产品有限公司,5,5,5,元/公斤,2025-9-16 17:50
平菇,山西省太原市河西农产品有限公司,8.4,8.4,8.4,元/公斤,2025-9-16 17:50
香菇,山西省太原市河西农产品有限公司,9,9,9,元/公斤,2025-9-16 17:50
金针菇,山西省太原市河西农产品有限公司,7,6,6.5,元/公斤,2025-9-16 17:50
鸡腿菇,山西省太原市河西农产品有限公司,9,8,8.5,元/公斤,2025-9-16 17:50
黑木耳,山西省太原市河西农产品有限公司,60,52,56,元/公斤,2025-9-16 17:50
富士苹果,山西省太原市河西农产品有限公司,10,6,8,元/公斤,2025-9-16 17:50
青苹果,山西省太原市河西农产品有限公司,6,4,5,元/公斤,2025-9-16 17:50
酥梨,山西省太原市河西农产品有限公司,4.6,3,3.8,元/公斤,2025-9-16 17:50
柿子,山西省太原市河西农产品有限公司,7,4,5.5,元/公斤,2025-9-16 17:50
山楂,山西省太原市河西农产品有限公司,5.6,5.6,5.6,元/公斤,2025-9-16 17:50
葡萄,山西省太原市河西农产品有限公司,9,8,8.5,元/公斤,2025-9-16 17:50
青提子,山西省太原市河西农产品有限公司,14,4,9,元/公斤,2025-9-16 17:50
红提子,山西省太原市河西农产品有限公司,14,8,11,元/公斤,2025-9-16 17:50
草莓,山西省太原市河西农产品有限公司,20,16,18,元/公斤,2025-9-16 17:50
石榴,山西省太原市河西农产品有限公司,12,10,11,元/公斤,2025-9-16 17:50
油桃,山西省太原市河西农产品有限公司,7.6,5,6.3,元/公斤,2025-9-16 17:50
冬枣,山西省太原市河西农产品有限公司,20,16,18,元/公斤,2025-9-16 17:50
大枣,山西省太原市河西农产品有限公司,30,22,26,元/公斤,2025-9-16 17:50
蜜桔,山西省太原市河西农产品有限公司,9,6,7.5,元/公斤,2025-9-16 17:50
橙子,山西省太原市河西农产品有限公司,16,10,13,元/公斤,2025-9-16 17:50
脐橙,山西省太原市河西农产品有限公司,8,6,7,元/公斤,2025-9-16 17:50
黑美人西瓜,山西省太原市河西农产品有限公司,3.6,2.4,3,元/公斤,2025-9-16 17:50
网纹瓜,山西省太原市河西农产品有限公司,9,7,8,元/公斤,2025-9-16 17:50
香瓜,山西省太原市河西农产品有限公司,5,3,4,元/公斤,2025-9-16 17:50
猕猴桃,山西太原丈子头农产品物流园（原城东利民）,5.5,5,5.4,元/公斤,2025-9-16 17:50
柠檬,山西太原丈子头农产品物流园（原城东利民）,10.2,10,10.1,元/公斤,2025-9-16 17:50
核桃,山西太原丈子头农产品物流园（原城东利民）,21,11,16,元/公斤,2025-9-16 17:50
